rowid,word,n,tf,idf,tf_idf
9,industries,10,0.0116686114352392,2.83321334405622,0.0330596656249267
9,research,10,0.0116686114352392,2.83321334405622,0.0330596656249267
10,domain,9,0.0112219451371571,2.83321334405622,0.0317941647088603
10,inequality,11,0.013715710723192,2.14006616349627,0.0293525284270062
10,bottom,8,0.00997506234413965,2.83321334405622,0.0282614797412091
10,migration,8,0.00997506234413965,2.83321334405622,0.0282614797412091
10,loans,10,0.0124688279301746,2.14006616349627,0.0266841167518238
11,cities,30,0.0303336703741153,2.83321334405622,0.0859417596781461
11,urban,34,0.0343781597573306,1.73460105538811,0.0596323921973666
11,spaces,14,0.0141557128412538,2.83321334405622,0.0401061545164682
11,waste,18,0.0182002022244692,2.14006616349627,0.038949636949376
11,transport,20,0.0202224469160768,1.73460105538811,0.0350778777631569
12,material,29,0.0333333333333333,2.14006616349627,0.071335538783209
12,consumption,27,0.0310344827586207,1.44691898293633,0.0449043822290584
12,tons,18,0.0206896551724138,2.14006616349627,0.0442772309688884
12,footprint,13,0.0149425287356322,2.83321334405622,0.0423353718077366
12,metric,14,0.0160919540229885,2.14006616349627,0.0344378463091354
13,climate,57,0.0669800235017626,0.75377180237638,0.0504876530381359
13,adaptation,13,0.0152761457109283,2.83321334405622,0.0432805798739492
13,convention,9,0.0105757931844888,2.83321334405622,0.0299634783742726
13,change,32,0.0376028202115159,0.75377180237638,0.0283439455652693
13,parties,13,0.0152761457109283,1.73460105538811,0.0264980184724388
14,marine,29,0.0336426914153132,2.83321334405622,0.0953169222478309
14,ocean,20,0.0232018561484919,2.83321334405622,0.06573580844678
14,fisheries,17,0.0197215777262181,2.83321334405622,0.055875437179763
14,coastal,16,0.0185614849187935,2.83321334405622,0.052588646757424
14,fishing,13,0.0150812064965197,2.83321334405622,0.042728275490407
15,forests,16,0.0161453077699294,2.83321334405622,0.0457431014176584
15,biodiversity,24,0.024217961654894,1.73460105538811,0.0420085018459279
15,species,19,0.0191725529767911,2.14006616349627,0.0410305318934704
15,mountain,13,0.0131180625630676,2.83321334405622,0.0371662699018474
15,land,28,0.0282542885973764,1.22377543162212,0.0345769042234301
16,victims,19,0.0192697768762677,2.83321334405622,0.0545953889828277
16,rights,23,0.0233265720081136,1.73460105538811,0.0404622964238605
16,homicide,13,0.013184584178499,2.83321334405622,0.0373547398303558
16,trafficking,16,0.0162271805273834,2.14006616349627,0.0347272399755987
16,violence,16,0.0162271805273834,2.14006616349627,0.0347272399755987
17,statistical,12,0.00897531787584144,2.83321334405622,0.0254289903729803
17,oda,19,0.0142109199700823,1.73460105538811,0.0246502767781406
17,statistics,9,0.00673148840688108,2.83321334405622,0.0190717427797352
17,debt,8,0.00598354525056096,2.83321334405622,0.0169526602486535
17,multilateral,7,0.00523560209424084,2.83321334405622,0.0148335777175718
17,remittances,7,0.00523560209424084,2.83321334405622,0.0148335777175718
